Date,Value
1917-03-01,4.97
1917-04-01,3.1
1917-05-01,2.21
1917-06-01,5.17
1917-07-01,2.97
1917-08-01,3.53
1917-09-01,1.96
1917-10-01,2.24
1917-11-01,0.25
1917-12-01,1.7
1918-01-01,4.45
1918-02-01,0.53
1918-03-01,2.41
1918-04-01,4.97
1918-05-01,2.15
1918-06-01,2.93
1918-07-01,3.69
1918-08-01,2.91
1918-09-01,2.61
1918-10-01,0.95
1918-11-01,1.26
1918-12-01,2.59
1919-01-01,4.13
1919-02-01,2.23
1919-03-01,3.02
1919-04-01,2.18
1919-05-01,3.64
1919-06-01,7.61
1919-07-01,5.21
1919-08-01,3.03
1919-09-01,0.47
1919-10-01,2.65
1919-11-01,2.48
1919-12-01,1.96
1920-01-01,1.64
1920-02-01,4.03
1920-03-01,2.82
1920-04-01,3.53
1920-05-01,0.79
1920-06-01,5.12
1920-07-01,4.82
1920-08-01,6.76
1920-09-01,4.51
1920-10-01,0.1
1920-11-01,7.14
1920-12-01,2.34
1921-01-01,2.69
1921-02-01,2.6
1921-03-01,1.75
1921-04-01,2.76
1921-05-01,6.15
1921-06-01,1.85
1921-07-01,3.56
1921-08-01,0.83
1921-09-01,1.71
1921-10-01,2.45
1921-11-01,1.65
1921-12-01,1.01
1922-01-01,3.9
1922-02-01,3.32
1922-03-01,7.5
1922-04-01,1.53
1922-05-01,4.37
1922-06-01,3.35
1922-07-01,2.25
1922-08-01,1.18
1922-09-01,1.42
1922-10-01,4.19
1922-11-01,0.19
1922-12-01,3.42
1923-01-01,2.25
1923-02-01,2.38
1923-03-01,5.91
1923-04-01,2.7
1923-05-01,1.66
1923-06-01,1.62
1923-07-01,2.52
1923-08-01,3.44
1923-09-01,2.84
1923-10-01,1.5
1923-11-01,1.98
1923-12-01,2.72
1924-01-01,3.37
1924-02-01,1.87
1924-03-01,2.77
1924-04-01,3.35
1924-05-01,5.16
1924-06-01,3.58
1924-07-01,3.74
1924-08-01,4.8
1924-09-01,4.69
1924-10-01,2.48
1924-11-01,1.45
1924-12-01,3.34
1925-01-01,3.4
1925-02-01,1.04
1925-03-01,1.06
1925-04-01,2.61
1925-05-01,1.34
1925-06-01,2.77
1925-07-01,3.56
1925-08-01,0.56
1925-09-01,0.43
1925-10-01,4.08
1925-11-01,2.68
1925-12-01,2.86
1926-01-01,3.89
1926-02-01,3.59
1926-03-01,2.52
1926-04-01,1.82
1926-05-01,0.44
1926-06-01,1.13
1926-07-01,2.73
1926-08-01,1.67
1926-09-01,1.59
1926-10-01,3.16
1926-11-01,3.43
1926-12-01,4.99
1927-01-01,1.09
1927-02-01,3.14
1927-03-01,1.29
1927-04-01,3.99
1927-05-01,1.42
1927-06-01,1.87
1927-07-01,5.9
1927-08-01,4.27
1927-09-01,0.31
1927-10-01,6.51
1927-11-01,1.91
1927-12-01,3.88
1928-01-01,2.53
1928-02-01,2.4
1928-03-01,1.93
1928-04-01,4.56
1928-05-01,0.66
1928-06-01,2.98
1928-07-01,3.55
1928-08-01,14.87
1928-09-01,6.11
1928-10-01,0.65
1928-11-01,0.79
1928-12-01,1.02
1929-01-01,2.38
1929-02-01,2.75
1929-03-01,3.22
1929-04-01,5.76
1929-05-01,3.06
1929-06-01,5.0
1929-07-01,2.21
1929-08-01,3.99
1929-09-01,2.2
1929-10-01,5.31
1929-11-01,2.82
1929-12-01,1.87
1930-01-01,2.77
1930-02-01,0.95
1930-03-01,2.26
1930-04-01,1.45
1930-05-01,1.75
1930-06-01,2.57
1930-07-01,0.9
1930-08-01,0.42
1930-09-01,0.9
1930-10-01,0.62
1930-11-01,2.44
1930-12-01,2.8
1931-01-01,1.48
1931-02-01,1.81
1931-03-01,3.75
1931-04-01,3.11
1931-05-01,5.93
1931-06-01,2.43
1931-07-01,5.37
1931-08-01,5.16
1931-09-01,0.73
1931-10-01,0.67
1931-11-01,0.45
1931-12-01,2.74
1932-01-01,4.29
1932-02-01,1.25
1932-03-01,4.8
1932-04-01,1.01
1932-05-01,1.38
1932-06-01,2.54
1932-07-01,0.75
1932-08-01,1.7
1932-09-01,2.22
1932-10-01,8.86
1932-11-01,4.63
1932-12-01,3.85
1933-01-01,2.73
1933-02-01,2.17
1933-03-01,2.72
1933-04-01,4.41
1933-05-01,4.26
1933-06-01,2.61
1933-07-01,4.3
1933-08-01,3.5
1933-09-01,0.35
1933-10-01,1.45
1933-11-01,1.25
1933-12-01,3.86
1934-01-01,1.92
1934-02-01,3.48
1934-03-01,5.75
1934-04-01,3.52
1934-05-01,4.09
1934-06-01,4.21
1934-07-01,3.04
1934-08-01,4.69
1934-09-01,7.37
1934-10-01,1.69
1934-11-01,6.11
1934-12-01,2.99
1935-01-01,5.27
1935-02-01,3.18
1935-03-01,5.7
1935-04-01,4.78
1935-05-01,3.26
1935-06-01,8.53
1935-07-01,6.76
1935-08-01,3.8
1935-09-01,7.53
1935-10-01,2.18
1935-11-01,5.05
1935-12-01,2.6
1936-01-01,9.46
1936-02-01,3.99
1936-03-01,7.48
1936-04-01,4.54
1936-05-01,1.23
1936-06-01,4.64
1936-07-01,3.07
1936-08-01,5.95
1936-09-01,4.64
1936-10-01,3.93
1936-11-01,0.66
1936-12-01,5.35
1937-01-01,8.49
1937-02-01,2.82
1937-03-01,1.63
1937-04-01,5.07
1937-05-01,2.93
1937-06-01,6.24
1937-07-01,5.97
1937-08-01,4.89
1937-09-01,2.61
1937-10-01,7.91
1937-11-01,2.14
1937-12-01,1.03
1938-01-01,2.99
1938-02-01,2.82
1938-03-01,3.16
1938-04-01,1.6
1938-05-01,4.13
1938-06-01,8.25
1938-07-01,5.73
1938-08-01,3.24
1938-09-01,1.87
1938-10-01,0.77
1938-11-01,2.7
1938-12-01,4.18
1939-01-01,2.92
1939-02-01,4.99
1939-03-01,3.21
1939-04-01,2.8
1939-05-01,1.33
1939-06-01,3.88
1939-07-01,6.05
1939-08-01,7.66
1939-09-01,1.21
1939-10-01,2.73
1939-11-01,1.89
1939-12-01,2.11
1940-01-01,2.86
1940-02-01,3.02
1940-03-01,2.07
1940-04-01,4.26
1940-05-01,2.73
1940-06-01,2.33
1940-07-01,5.45
1940-08-01,9.72
1940-09-01,1.14
1940-10-01,0.91
1940-11-01,4.4
1940-12-01,3.02
1941-01-01,2.38
1941-02-01,0.75
1941-03-01,1.47
