Date,Value
1937-03-01,1.36
1937-04-01,4.8
1937-05-01,1.53
1937-06-01,3.84
1937-07-01,6.52
1937-08-01,10.92
1937-09-01,2.31
1937-10-01,9.71
1937-11-01,3.71
1937-12-01,1.09
1938-01-01,2.52
1938-02-01,0.51
1938-03-01,2.04
1938-04-01,1.82
1938-05-01,3.39
1938-06-01,8.04
1938-07-01,6.86
1938-08-01,2.44
1938-09-01,1.23
1938-10-01,0.59
1938-11-01,6.18
1938-12-01,2.23
1939-01-01,3.12
1939-02-01,4.66
1939-03-01,2.44
1939-04-01,1.8
1939-05-01,1.59
1939-06-01,3.17
1939-07-01,6.36
1939-08-01,6.0
1939-09-01,3.0
1939-10-01,1.13
1939-11-01,1.87
1939-12-01,1.95
1940-01-01,2.23
1940-02-01,2.56
1940-03-01,1.6
1940-04-01,3.19
1940-05-01,10.14
1940-06-01,1.96
1940-07-01,8.18
1940-08-01,16.71
1940-09-01,0.66
1940-10-01,1.2
1940-11-01,4.04
1940-12-01,3.68
1941-01-01,1.55
1941-02-01,0.67
1941-03-01,2.11
1941-04-01,3.34
1941-05-01,2.15
1941-06-01,6.05
1941-07-01,5.39
1941-08-01,1.03
1941-09-01,1.52
1941-10-01,0.95
1941-11-01,1.07
1941-12-01,4.09
1942-01-01,1.68
1942-02-01,1.22
1942-03-01,3.0
1942-04-01,0.38
1942-05-01,7.36
1942-06-01,5.86
1942-07-01,3.02
1942-08-01,9.84
1942-09-01,5.84
1942-10-01,5.17
1942-11-01,1.54
1942-12-01,3.82
1943-01-01,2.88
1943-02-01,1.41
1943-03-01,3.0
1943-04-01,4.27
1943-05-01,4.67
1943-06-01,4.58
1943-07-01,3.09
1943-08-01,1.81
1943-09-01,1.28
1943-10-01,2.08
1943-11-01,1.5
1943-12-01,2.83
1944-01-01,2.38
1944-02-01,5.36
1944-03-01,4.87
1944-04-01,1.44
1944-05-01,4.08
1944-06-01,1.73
1944-07-01,4.51
1944-08-01,2.88
1944-09-01,10.39
1944-10-01,4.93
1944-11-01,1.78
1944-12-01,2.88
1945-01-01,2.04
1945-02-01,2.9
1945-03-01,2.85
1945-04-01,2.29
1945-05-01,2.79
1945-06-01,2.39
1945-07-01,4.78
1945-08-01,1.16
1945-09-01,12.06
1945-10-01,0.83
1945-11-01,3.56
1945-12-01,4.92
1946-01-01,3.25
1946-02-01,3.38
1946-03-01,2.74
1946-04-01,3.52
1946-05-01,5.66
1946-06-01,3.44
1946-07-01,4.28
1946-08-01,2.09
1946-09-01,2.32
1946-10-01,4.03
1946-11-01,1.3
1946-12-01,2.7
1947-01-01,5.48
1947-02-01,1.74
1947-03-01,2.33
1947-04-01,2.91
1947-05-01,5.66
1947-06-01,7.02
