Date,Value
1918-03-01,3.36
1918-04-01,4.31
1918-05-01,3.97
1918-06-01,5.01
1918-07-01,3.79
1918-08-01,4.27
1918-09-01,2.79
1918-10-01,2.34
1918-11-01,1.16
1918-12-01,3.52
1919-01-01,2.67
1919-02-01,1.86
1919-03-01,2.69
1919-04-01,2.4
1919-05-01,5.37
1919-06-01,3.0
1919-07-01,4.05
1919-08-01,3.37
1919-09-01,1.26
1919-10-01,2.5
1919-11-01,2.16
1919-12-01,1.99
1920-01-01,2.03
1920-02-01,1.76
1920-03-01,2.54
1920-04-01,3.51
1920-05-01,1.46
1920-06-01,2.06
1920-07-01,4.49
1920-08-01,5.89
1920-09-01,2.7
1920-10-01,0.19
1920-11-01,3.39
1920-12-01,2.76
1921-01-01,1.84
1921-02-01,1.25
1921-03-01,1.43
1921-04-01,1.6
1921-05-01,3.63
1921-06-01,2.86
1921-07-01,4.29
1921-08-01,1.8
1921-09-01,3.54
1921-10-01,1.26
1921-11-01,3.39
1921-12-01,1.93
1922-01-01,2.13
1922-02-01,3.65
1922-03-01,4.12
1922-04-01,1.2
1922-05-01,4.53
1922-06-01,4.08
1922-07-01,5.51
1922-08-01,4.29
1922-09-01,0.31
1922-10-01,2.43
1922-11-01,0.37
1922-12-01,2.8
1923-01-01,2.79
1923-02-01,0.98
1923-03-01,2.0
1923-04-01,2.88
1923-05-01,1.39
1923-06-01,2.09
1923-07-01,2.49
1923-08-01,7.19
1923-09-01,4.62
1923-10-01,0.77
1923-11-01,2.35
1923-12-01,1.47
1924-01-01,3.83
1924-02-01,2.42
1924-03-01,2.63
1924-04-01,2.48
1924-05-01,8.68
1924-06-01,5.0
1924-07-01,2.71
1924-08-01,4.02
1924-09-01,5.01
1924-10-01,1.47
1924-11-01,2.47
1924-12-01,1.28
1925-01-01,3.3
1925-02-01,2.01
1925-03-01,1.24
1925-04-01,3.51
1925-05-01,1.01
1925-06-01,3.68
1925-07-01,7.08
1925-08-01,4.02
1925-09-01,1.18
1925-10-01,2.84
1925-11-01,1.83
1925-12-01,1.73
1926-01-01,3.48
1926-02-01,4.2
1926-03-01,2.03
1926-04-01,2.82
1926-05-01,2.78
1926-06-01,1.79
1926-07-01,8.04
1926-08-01,6.38
1926-09-01,3.53
1926-10-01,3.1
1926-11-01,3.23
1926-12-01,3.26
1927-01-01,1.05
1927-02-01,2.38
1927-03-01,0.65
1927-04-01,6.02
1927-05-01,1.74
1927-06-01,1.73
1927-07-01,3.67
1927-08-01,4.5
1927-09-01,0.62
1927-10-01,5.73
1927-11-01,2.42
1927-12-01,2.88
1928-01-01,1.92
1928-02-01,2.16
1928-03-01,2.01
1928-04-01,3.2
1928-05-01,2.56
1928-06-01,5.12
1928-07-01,2.01
1928-08-01,8.29
1928-09-01,2.96
1928-10-01,1.12
1928-11-01,0.73
1928-12-01,1.36
1929-01-01,2.23
1929-02-01,2.29
1929-03-01,3.01
1929-04-01,3.73
1929-05-01,4.98
1929-06-01,4.8
1929-07-01,4.44
1929-08-01,1.34
1929-09-01,1.68
1929-10-01,4.36
1929-11-01,3.34
1929-12-01,1.82
1930-01-01,1.98
1930-02-01,1.04
1930-03-01,1.65
1930-04-01,1.19
1930-05-01,1.2
1930-06-01,3.95
1930-07-01,0.08
1930-08-01,1.11
1930-09-01,0.85
1930-10-01,0.31
1930-11-01,0.93
1930-12-01,3.04
1931-01-01,0.91
1931-02-01,1.56
1931-03-01,1.65
1931-04-01,2.27
1931-05-01,4.66
1931-06-01,3.34
1931-07-01,7.1
1931-08-01,5.28
1931-09-01,2.42
1931-10-01,0.65
1931-11-01,0.19
1931-12-01,1.43
1932-01-01,3.08
1932-02-01,2.67
1932-03-01,4.76
1932-04-01,1.69
1932-05-01,5.1
1932-06-01,1.75
1932-07-01,4.68
1932-08-01,0.95
1932-09-01,1.9
1932-10-01,7.75
1932-11-01,4.45
1932-12-01,3.1
1933-01-01,2.74
1933-02-01,1.77
1933-03-01,2.55
1933-04-01,4.87
1933-05-01,3.77
1933-06-01,1.2
1933-07-01,8.59
1933-08-01,5.99
1933-09-01,3.47
1933-10-01,2.06
1933-11-01,4.45
1933-12-01,1.54
1934-01-01,0.9
1934-02-01,1.57
1934-03-01,3.41
1934-04-01,1.47
1934-05-01,2.7
1934-06-01,2.82
1934-07-01,2.84
1934-08-01,6.46
1934-09-01,5.19
1934-10-01,1.35
1934-11-01,3.36
1934-12-01,4.2
1935-01-01,3.26
1935-02-01,2.28
1935-03-01,3.29
1935-04-01,3.64
1935-05-01,3.58
1935-06-01,3.6
