Date,Value
1911-03-01,2.15
1911-04-01,4.0
1911-05-01,0.6
1911-06-01,2.83
1911-07-01,0.57
1911-08-01,7.26
1911-09-01,1.85
1911-10-01,3.61
1911-11-01,4.33
1911-12-01,4.35
1912-01-01,2.34
1912-02-01,3.76
1912-03-01,8.18
1912-04-01,2.17
1912-05-01,4.59
1912-06-01,2.5
1912-07-01,1.25
1912-08-01,1.49
1912-09-01,4.2
1912-10-01,0.58
1912-11-01,1.73
1912-12-01,2.84
1913-01-01,2.53
1913-02-01,1.51
1913-03-01,3.53
1913-04-01,2.54
1913-05-01,4.8
1913-06-01,3.78
1913-07-01,3.65
1913-08-01,4.59
1913-09-01,3.2
1913-10-01,3.95
1913-11-01,1.49
1913-12-01,2.17
1914-01-01,3.65
1914-02-01,3.27
1914-03-01,3.66
1914-04-01,1.28
1914-05-01,2.5
1914-06-01,2.76
1914-07-01,3.65
1914-08-01,2.47
1914-09-01,1.47
1914-10-01,1.67
1914-11-01,2.2
1914-12-01,4.95
1915-01-01,5.41
1915-02-01,3.92
1915-03-01,1.1
1915-04-01,1.68
1915-05-01,3.0
1915-06-01,3.77
1915-07-01,2.42
1915-08-01,7.34
1915-09-01,1.99
1915-10-01,3.27
1915-11-01,0.63
1915-12-01,1.93
1916-01-01,1.51
1916-02-01,3.68
1916-03-01,1.57
1916-04-01,1.94
1916-05-01,4.74
1916-06-01,8.72
1916-07-01,5.39
1916-08-01,1.55
1916-09-01,2.01
1916-10-01,1.44
1916-11-01,1.31
1916-12-01,3.4
1917-01-01,2.98
1917-02-01,2.28
1917-03-01,5.97
1917-04-01,2.56
1917-05-01,4.59
1917-06-01,5.31
1917-07-01,6.28
1917-08-01,2.74
1917-09-01,4.62
1917-10-01,3.78
1917-11-01,0.44
1917-12-01,1.72
1918-01-01,5.81
1918-02-01,0.91
1918-03-01,3.98
1918-04-01,8.02
1918-05-01,3.3
1918-06-01,5.36
1918-07-01,1.05
1918-08-01,2.76
1918-09-01,3.55
1918-10-01,0.59
1918-11-01,1.26
1918-12-01,4.79
1919-01-01,3.64
1919-02-01,2.22
1919-03-01,3.51
1919-04-01,3.25
1919-05-01,5.19
1919-06-01,3.9
1919-07-01,9.92
1919-08-01,2.62
1919-09-01,0.54
1919-10-01,1.71
1919-11-01,1.31
1919-12-01,2.3
1920-01-01,2.02
1920-02-01,6.67
1920-03-01,3.11
1920-04-01,2.96
1920-05-01,3.06
1920-06-01,6.34
1920-07-01,6.05
1920-08-01,8.69
1920-09-01,2.72
1920-10-01,0.66
1920-11-01,6.69
1920-12-01,1.87
1921-01-01,3.79
1921-02-01,3.52
1921-03-01,2.13
1921-04-01,4.65
1921-05-01,3.89
1921-06-01,1.49
1921-07-01,2.36
1921-08-01,0.61
1921-09-01,0.95
1921-10-01,1.2
1921-11-01,2.97
1921-12-01,3.02
1922-01-01,4.58
1922-02-01,3.81
1922-03-01,7.01
1922-04-01,2.01
1922-05-01,3.27
1922-06-01,6.42
1922-07-01,8.48
1922-08-01,7.78
1922-09-01,0.66
1922-10-01,3.68
1922-11-01,0.86
1922-12-01,3.14
1923-01-01,4.61
1923-02-01,3.09
1923-03-01,5.88
1923-04-01,3.96
1923-05-01,1.16
1923-06-01,2.09
1923-07-01,10.87
1923-08-01,6.41
1923-09-01,4.25
1923-10-01,2.16
1923-11-01,2.2
1923-12-01,2.28
1924-01-01,2.98
1924-02-01,2.34
1924-03-01,4.0
1924-04-01,5.11
1924-05-01,7.36
1924-06-01,4.85
1924-07-01,2.33
1924-08-01,3.05
1924-09-01,9.58
1924-10-01,0.78
1924-11-01,1.61
1924-12-01,3.4
1925-01-01,5.42
1925-02-01,0.9
1925-03-01,2.47
1925-04-01,2.33
1925-05-01,2.15
1925-06-01,2.24
1925-07-01,2.32
1925-08-01,2.55
1925-09-01,0.93
1925-10-01,4.67
1925-11-01,1.55
1925-12-01,3.89
1926-01-01,3.3
1926-02-01,3.6
1926-03-01,1.96
1926-04-01,2.01
1926-05-01,1.59
1926-06-01,2.19
1926-07-01,7.17
1926-08-01,5.24
1926-09-01,1.46
1926-10-01,0.81
1926-11-01,3.63
1926-12-01,4.56
1927-01-01,0.7
1927-02-01,2.84
1927-03-01,1.95
1927-04-01,3.47
1927-05-01,3.3
1927-06-01,3.12
1927-07-01,9.1
1927-08-01,7.19
1927-09-01,4.01
1927-10-01,2.02
1927-11-01,1.61
1927-12-01,5.02
1928-01-01,2.23
1928-02-01,1.84
1928-03-01,2.71
1928-04-01,6.86
1928-05-01,1.99
1928-06-01,7.19
1928-07-01,1.95
1928-08-01,8.05
1928-09-01,7.01
1928-10-01,0.4
1928-11-01,1.2
1928-12-01,1.46
1929-01-01,1.53
1929-02-01,5.19
1929-03-01,3.96
1929-04-01,3.5
1929-05-01,4.0
1929-06-01,3.02
1929-07-01,2.16
1929-08-01,2.41
1929-09-01,2.41
1929-10-01,6.99
1929-11-01,3.34
1929-12-01,2.7
1930-01-01,4.25
1930-02-01,1.21
1930-03-01,1.07
1930-04-01,3.19
1930-05-01,2.46
1930-06-01,5.18
1930-07-01,4.51
1930-08-01,2.35
1930-09-01,1.37
1930-10-01,1.31
1930-11-01,1.63
1930-12-01,2.48
1931-01-01,1.88
1931-02-01,2.6
1931-03-01,2.94
1931-04-01,3.97
1931-05-01,5.64
1931-06-01,2.98
1931-07-01,4.47
1931-08-01,11.42
1931-09-01,1.92
1931-10-01,1.15
1931-11-01,0.24
1931-12-01,2.52
1932-01-01,5.64
1932-02-01,1.66
1932-03-01,6.21
1932-04-01,1.69
1932-05-01,4.17
1932-06-01,3.17
1932-07-01,1.66
1932-08-01,1.36
1932-09-01,0.75
1932-10-01,6.58
1932-11-01,3.5
1932-12-01,4.84
1933-01-01,3.85
1933-02-01,2.73
1933-03-01,2.15
1933-04-01,4.02
1933-05-01,4.84
1933-06-01,1.63
1933-07-01,4.59
1933-08-01,8.84
1933-09-01,1.05
1933-10-01,0.72
1933-11-01,1.17
1933-12-01,3.14
1934-01-01,1.63
1934-02-01,5.34
1934-03-01,4.36
1934-04-01,2.1
1934-05-01,4.83
1934-06-01,3.65
1934-07-01,3.22
1934-08-01,3.22
1934-09-01,5.92
1934-10-01,0.82
1934-11-01,3.34
1934-12-01,2.32
1935-01-01,4.41
1935-02-01,2.13
1935-03-01,4.0
1935-04-01,4.4
1935-05-01,3.81
1935-06-01,6.22
1935-07-01,5.64
1935-08-01,3.68
1935-09-01,9.23
1935-10-01,1.73
1935-11-01,3.19
1935-12-01,2.12
1936-01-01,7.76
1936-02-01,3.92
1936-03-01,3.83
1936-04-01,2.68
1936-05-01,0.45
1936-06-01,3.88
1936-07-01,3.18
1936-08-01,2.9
1936-09-01,1.43
1936-10-01,1.68
1936-11-01,0.92
1936-12-01,4.34
1937-01-01,10.08
1937-02-01,2.42
1937-03-01,1.66
1937-04-01,6.02
1937-05-01,1.64
1937-06-01,6.02
1937-07-01,6.0
1937-08-01,9.85
1937-09-01,2.61
1937-10-01,6.34
1937-11-01,2.44
1937-12-01,0.9
1938-01-01,3.28
1938-02-01,1.82
1938-03-01,3.72
1938-04-01,3.24
1938-05-01,4.92
1938-06-01,9.24
1938-07-01,11.89
1938-08-01,0.95
1938-09-01,4.41
1938-10-01,1.57
1938-11-01,2.74
1938-12-01,2.74
1939-01-01,3.4
1939-02-01,3.98
1939-03-01,5.33
1939-04-01,3.04
1939-05-01,1.39
1939-06-01,5.41
1939-07-01,5.23
1939-08-01,8.34
1939-09-01,1.7
1939-10-01,4.84
1939-11-01,2.18
1939-12-01,1.51
1940-01-01,4.16
1940-02-01,2.99
1940-03-01,2.31
1940-04-01,4.22
1940-05-01,4.26
1940-06-01,4.02
1940-07-01,4.45
1940-08-01,9.33
1940-09-01,1.77
1940-10-01,2.27
1940-11-01,4.59
1940-12-01,1.83
1941-01-01,2.19
1941-02-01,1.17
1941-03-01,1.97
1941-04-01,3.44
1941-05-01,1.31
1941-06-01,1.83
1941-07-01,2.82
1941-08-01,3.05
1941-09-01,1.23
1941-10-01,0.35
1941-11-01,0.66
1941-12-01,2.89
1942-01-01,3.59
1942-02-01,1.03
1942-03-01,5.31
1942-04-01,0.78
1942-05-01,1.11
1942-06-01,5.3
1942-07-01,3.52
1942-08-01,6.61
1942-09-01,3.71
1942-10-01,6.74
1942-11-01,1.31
1942-12-01,3.04
1943-01-01,2.87
1943-02-01,2.27
1943-03-01,3.01
1943-04-01,2.11
1943-05-01,4.04
1943-06-01,3.15
1943-07-01,3.87
1943-08-01,0.52
1943-09-01,5.13
1943-10-01,2.9
1943-11-01,1.44
1943-12-01,1.98
1944-01-01,2.83
1944-02-01,5.61
1944-03-01,5.85
1944-04-01,3.59
1944-05-01,1.41
1944-06-01,1.42
1944-07-01,7.76
1944-08-01,6.44
1944-09-01,5.5
1944-10-01,1.79
1944-11-01,3.94
1944-12-01,2.26
1945-01-01,2.25
1945-02-01,3.57
1945-03-01,1.33
1945-04-01,3.5
1945-05-01,5.09
1945-06-01,1.71
1945-07-01,18.87
1945-08-01,2.92
1945-09-01,8.49
1945-10-01,0.91
1945-11-01,3.09
1945-12-01,5.28
1946-01-01,2.16
1946-02-01,2.69
1946-03-01,2.23
1946-04-01,2.59
1946-05-01,7.73
1946-06-01,6.01
1946-07-01,6.64
1946-08-01,3.87
1946-09-01,4.39
1946-10-01,2.36
1946-11-01,1.9
1946-12-01,2.71
1947-01-01,4.31
1947-02-01,1.43
