Date,Value
1926-03-01,2.88
1926-04-01,2.12
1926-05-01,1.29
1926-06-01,1.87
1926-07-01,4.06
1926-08-01,3.92
1926-09-01,2.23
1926-10-01,4.38
1926-11-01,2.46
1926-12-01,6.62
1927-01-01,1.32
1927-02-01,4.63
1927-03-01,1.21
1927-04-01,6.41
1927-05-01,2.95
1927-06-01,1.85
1927-07-01,4.06
1927-08-01,3.92
1927-09-01,2.37
1927-10-01,4.14
1927-11-01,2.66
1927-12-01,6.11
1928-01-01,2.02
1928-02-01,4.63
1928-03-01,2.82
1928-04-01,3.28
1928-05-01,2.5
1928-06-01,4.29
1928-07-01,2.2
1928-08-01,8.41
1928-09-01,2.37
1928-10-01,1.84
1928-11-01,2.66
1928-12-01,1.03
1929-01-01,2.43
1929-02-01,5.09
1929-03-01,4.33
1929-04-01,3.4
1929-05-01,3.33
1929-06-01,4.29
1929-07-01,2.2
1929-08-01,8.41
1929-09-01,1.58
1929-10-01,8.11
1929-11-01,3.48
1929-12-01,2.37
1930-01-01,2.43
1930-02-01,1.25
1930-03-01,1.02
1930-04-01,1.54
1930-05-01,1.79
1930-06-01,1.37
1930-07-01,0.93
1930-08-01,1.08
1930-09-01,2.09
1930-10-01,1.33
1930-11-01,2.96
1930-12-01,3.95
1931-01-01,1.39
1931-02-01,1.69
1931-03-01,3.05
1931-04-01,4.11
1931-05-01,5.11
1931-06-01,2.76
1931-07-01,6.53
1931-08-01,7.28
1931-09-01,1.78
1931-10-01,1.37
1931-11-01,0.47
1931-12-01,3.95
1932-01-01,4.39
1932-02-01,3.49
1932-03-01,4.59
1932-04-01,2.69
1932-05-01,6.01
1932-06-01,6.29
1932-07-01,2.85
1932-08-01,2.48
1932-09-01,1.82
1932-10-01,5.28
1932-11-01,3.38
1932-12-01,4.23
1933-01-01,2.67
1933-02-01,3.53
1933-03-01,3.25
1933-04-01,3.85
1933-05-01,5.22
1933-06-01,1.9
1933-07-01,6.52
1933-08-01,1.8
1933-09-01,0.3
1933-10-01,0.89
1933-11-01,0.98
1933-12-01,2.75
1934-01-01,1.09
1934-02-01,3.13
1934-03-01,6.26
1934-04-01,2.7
1934-05-01,1.85
1934-06-01,1.9
1934-07-01,6.52
1934-08-01,3.64
1934-09-01,4.33
1934-10-01,2.07
1934-11-01,4.91
1934-12-01,2.53
1935-01-01,5.56
1935-02-01,2.46
1935-03-01,6.08
1935-04-01,5.67
1935-05-01,2.91
1935-06-01,2.19
1935-07-01,5.67
1935-08-01,1.97
1935-09-01,3.73
1935-10-01,2.51
1935-11-01,3.24
1935-12-01,1.7
1936-01-01,6.31
1936-02-01,2.69
1936-03-01,4.6
1936-04-01,3.87
1936-05-01,0.76
1936-06-01,3.46
1936-07-01,3.05
1936-08-01,4.69
1936-09-01,4.19
1936-10-01,3.02
1936-11-01,0.9
1936-12-01,4.47
1937-01-01,7.39
1937-02-01,2.32
1937-03-01,1.02
1937-04-01,3.71
1937-05-01,2.74
1937-06-01,3.53
1937-07-01,4.85
1937-08-01,10.02
1937-09-01,1.61
1937-10-01,8.58
1937-11-01,1.46
1937-12-01,1.52
1938-01-01,2.19
1938-02-01,1.46
1938-03-01,2.8
1938-04-01,2.33
1938-05-01,5.04
1938-06-01,4.59
1938-07-01,8.42
1938-08-01,1.12
1938-09-01,2.14
1938-10-01,0.41
1938-11-01,3.62
1938-12-01,1.79
1939-01-01,3.3
1939-02-01,4.41
1939-03-01,2.58
1939-04-01,1.78
1939-05-01,1.22
1939-06-01,5.14
1939-07-01,3.29
1939-08-01,6.05
1939-09-01,1.47
1939-10-01,0.41
1939-11-01,1.38
1939-12-01,1.79
1940-01-01,1.96
1940-02-01,1.8
1940-03-01,2.28
1940-04-01,1.78
1940-05-01,1.22
1940-06-01,4.47
1940-07-01,3.29
1940-08-01,9.19
1940-09-01,0.6
1940-10-01,1.32
1940-11-01,2.47
1940-12-01,2.55
1941-01-01,2.2
1941-02-01,0.92
1941-03-01,2.09
1941-04-01,2.49
1941-05-01,0.25
1941-06-01,6.94
1941-07-01,6.08
1941-08-01,1.29
1941-09-01,1.49
1941-10-01,0.86
1941-11-01,1.06
1941-12-01,3.23
1942-01-01,1.99
1942-02-01,1.54
1942-03-01,3.15
1942-04-01,0.64
1942-05-01,6.46
1942-06-01,5.66
1942-07-01,2.52
1942-08-01,4.77
1942-09-01,3.59
1942-10-01,0.86
1942-11-01,2.35
1942-12-01,3.8
1943-01-01,2.89
1943-02-01,2.16
1943-03-01,4.1
1943-04-01,2.69
1943-05-01,3.78
1943-06-01,6.76
1943-07-01,6.58
1943-08-01,2.96
1943-09-01,1.33
1943-10-01,1.76
1943-11-01,1.43
1943-12-01,2.36
1944-01-01,1.99
1944-02-01,6.48
1944-03-01,4.41
1944-04-01,2.03
1944-05-01,4.26
1944-06-01,3.45
1944-07-01,2.48
1944-08-01,0.92
1944-09-01,5.27
1944-10-01,2.81
1944-11-01,2.09
1944-12-01,1.95
1945-01-01,2.6
1945-02-01,4.04
1945-03-01,2.51
1945-04-01,2.65
1945-05-01,4.57
1945-06-01,2.32
1945-07-01,5.04
1945-08-01,2.94
1945-09-01,6.12
1945-10-01,1.42
1945-11-01,3.26
1945-12-01,4.71
1946-01-01,3.58
1946-02-01,2.2
1946-03-01,3.06
1946-04-01,2.64
1946-05-01,4.34
1946-06-01,4.25
1946-07-01,5.21
1946-08-01,1.46
1946-09-01,2.38
1946-10-01,1.48
1946-11-01,1.86
1946-12-01,2.57
1947-01-01,6.06
1947-02-01,1.67
1947-03-01,2.33
1947-04-01,2.57
1947-05-01,3.19
1947-06-01,4.36
1947-07-01,4.6
1947-08-01,4.64
1947-09-01,3.82
1947-10-01,5.1
1947-11-01,2.62
1947-12-01,0.5
1948-01-01,6.06
1948-02-01,1.67
1948-03-01,5.46
1948-04-01,3.11
1948-05-01,4.78
1948-06-01,7.86
1948-07-01,4.6
1948-08-01,5.99
1948-09-01,2.43
1948-10-01,2.17
1948-11-01,5.01
1948-12-01,5.88
1949-01-01,4.5
1949-02-01,2.95
1949-03-01,2.65
1949-04-01,5.72
1949-05-01,4.12
1949-06-01,5.03
1949-07-01,6.57
1949-08-01,5.47
1949-09-01,2.51
1949-10-01,3.53
1949-11-01,2.53
1949-12-01,2.07
1950-01-01,2.98
1950-02-01,2.18
