Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
1971,1.21,5.13,2.28,2.55,7.5,4.84,5.23,4.46,3.87,6.75,2.18,0.83,46.83
1972,2.49,4.8,1.76,3.31,6,7.55,4.89,2.62,4.79,3.18,5.63,4.62,51.64
1973,2.6,2.95,5.92,5.39,5.58,3.65,5.1,3.34,1.84,4.28,1.79,5.6,48.04
1974,3.33,2.13,3.12,1.86,3.76,2.93,3.71,4.93,3.04,0.77,1.28,3.16,34.02
1975,3.59,3.05,7.8,2.04,6.65,1.54,5.15,5.68,6.46,3.01,1.77,3.67,50.41
1976,2.16,1.27,4.54,0.48,6.13,5.2,1.24,2.2,3.17,9.72,1.31,2.59,40.01
1977,1.46,0.73,2.61,3.5,1.52,2.41,0.45,2.29,2.71,4.7,6.46,2.49,31.33
1978,6.12,0.65,5.92,7.54,4.85,2.05,4.83,6.33,0.52,0.78,2.55,3.15,45.29
1979,5.27,5.37,3.38,3.99,2.65,5.78,3.97,3.37,9.18,3.56,3.77,1.13,51.42
1980,4.1,0.67,5.41,5.51,2.66,1.81,5.18,2.87,1.66,2.3,1.78,0.6,34.55
1981,0.29,2.43,2.3,1.75,4.56,2.49,2.86,1.32,4.52,3.9,0.68,3.79,30.89
1982,3.76,4.75,2.33,2.01,4.83,4.99,3.98,5.2,2.67,4.13,3.65,2.53,44.83
1983,1.28,4.12,6.41,7.95,3.17,2.38,1.67,2.23,1.52,7.73,4.26,5.61,48.33
1984,1.35,4.85,4.3,3.97,4.49,2.34,4.17,9.54,2.69,1.42,2.67,1.84,43.63
1985,2.45,3.64,1.8,1.75,6.89,2.08,4.18,8.67,1.26,3.77,12.36,0.85,49.7
1986,0.93,2.87,1.36,1.67,4.15,0.62,2.83,4.31,3.04,2.76,3.73,5.48,33.75
1987,4.53,4.55,4.11,11.35,2.68,0.71,3.21,1.08,11.09,1.1,5,2.16,51.57
1988,1.87,1.07,0.88,3.4,2.76,3.66,3.75,4.3,3.01,1.26,2.42,1.28,29.66
1989,1.31,2.04,2.96,2.54,6.46,7.76,10.09,1.65,8.94,4.13,3.86,2.6,54.34
1990,2.33,2.76,3.42,2.07,7.45,0.83,3.8,4.42,1.86,9.89,1.08,3.79,43.7
